customer_id,age,gender,region,annual_income,tenure_months,purchase_frequency_per_month,avg_basket_value,total_spend_12m,recency_days,online_purchase_ratio,returns_rate,loyalty_member,email_open_rate,preferred_category,satisfaction_score
CUST10000,46,Male,South,70963.8,45,9.95,161.37,17821.53,10,0.766,0.083,1,0.594,Electronics,8.0
CUST10001,31,Female,West,51385.39,41,3.43,81.08,2895.89,22,0.355,0.1,1,0.735,Beauty,8.11
CUST10002,37,Male,East,87168.9,18,1.62,218.1,4392.59,87,0.0,0.112,0,0.098,Electronics,7.87
CUST10003,24,Female,West,47589.32,21,4.97,66.14,3847.99,30,0.814,0.133,0,0.481,Apparel,6.76
CUST10004,39,Male,West,41683.82,40,2.96,16.5,670.97,25,0.309,0.0,0,0.517,Sports & Outdoors,7.75
CUST10005,43,Male,East,41726.65,39,0.93,18.44,196.59,34,0.26,0.029,1,0.322,Groceries,
CUST10006,29,Male,East,35797.59,18,2.7,8.91,322.54,75,0.619,0.041,0,0.529,Beauty,7.78
CUST10007,29,Female,East,46465.86,63,4.56,58.64,3250.52,35,0.505,0.101,0,0.475,Groceries,9.27
CUST10008,54,Female,West,78725.11,18,2.15,261.45,7521.97,105,0.48,0.084,0,0.388,Groceries,6.25
CUST10009,68,Female,North,73146.64,12,1.25,173.1,2505.5,67,0.161,0.068,1,0.315,Apparel,8.02
CUST10010,33,Male,Central,33674.13,49,3.11,19.12,620.51,36,0.379,0.009,0,0.593,Electronics,5.65
CUST10011,56,Female,South,47601.26,27,2.28,94.89,2946.68,38,0.431,0.0,1,0.443,Groceries,9.4
CUST10012,31,Male,West,62311.46,9,5.06,74.38,4820.48,20,0.732,0.001,0,0.573,Beauty,7.15
CUST10013,38,Female,North,31826.45,38,2.77,16.62,573.29,59,0.458,0.09,1,0.625,Home & Kitchen,8.32
CUST10014,22,Female,East,35636.99,46,1.01,19.9,237.1,53,0.201,0.0,0,0.342,Beauty,6.09
CUST10015,40,Female,North,34552.75,57,1.53,17.71,331.7,44,0.176,0.104,1,0.384,Electronics,5.24
CUST10016,40,Female,East,114352.24,60,10.58,105.74,13880.42,9,0.577,0.129,1,0.663,Beauty,8.28
CUST10017,24,Male,East,46551.31,23,5.6,64.76,3780.6,15,1.0,0.07,0,0.445,Groceries,6.65
CUST10018,18,Male,West,48786.0,22,5.02,91.41,5017.5,10,0.774,0.0,0,0.702,Beauty,7.17
CUST10019,75,Male,North,101253.25,57,15.48,154.43,31215.56,7,0.475,0.142,0,0.251,Home & Kitchen,5.22
CUST10020,54,Male,South,57715.85,27,2.03,192.51,4702.65,25,0.242,0.113,0,0.199,Apparel,7.54
CUST10021,47,Male,North,41225.67,1,1.09,14.68,189.76,53,0.305,0.027,0,0.367,Beauty,6.04
CUST10022,41,Male,Central,88713.36,48,8.2,212.69,19071.93,9,0.636,0.072,1,0.48,Home & Kitchen,7.74
CUST10023,32,Male,West,106326.48,65,9.48,108.69,10571.42,3,0.873,0.049,1,0.572,Apparel,8.33
CUST10024,19,Female,South,38826.25,17,6.13,46.81,3167.88,8,0.807,0.084,0,0.663,Sports & Outdoors,5.78
CUST10025,58,Female,North,60246.55,33,2.06,240.42,6733.77,80,0.211,0.098,0,0.489,Apparel,9.39
CUST10026,31,Female,North,33237.15,27,1.9,16.04,408.81,69,0.454,0.098,0,0.555,Apparel,6.74
